Type,MsgSize,Threads,Throughput,Latency,Cycles,L1_Misses,LLC_Misses,CS
TwoCopy,1024,1,6.5722,1.24,15073965817,173609812,11828,31
TwoCopy,1024,2,10.7514,.76,33992460383,359303512,361276,494
TwoCopy,1024,4,13.0588,.62,60770988973,620818637,487852,3310
TwoCopy,1024,8,13.9116,.58,65752536870,656478248,999467,46925
TwoCopy,32768,1,33.2706,7.87,17904004913,1967419578,107520,106
TwoCopy,32768,2,51.5867,5.08,32940938262,3036157801,408735,1417
TwoCopy,32768,4,78.3343,3.34,58780517175,4594241176,1274448,12963
TwoCopy,32768,8,82.2005,3.18,68919139793,4786957818,9324406,400724
TwoCopy,131072,1,39.5437,26.51,18240266365,2214816881,65888,163
TwoCopy,131072,2,67.3482,15.56,34136797066,3776926922,218100,568
TwoCopy,131072,4,93.2061,11.25,58155996712,5242638281,2179835,12559
TwoCopy,131072,8,83.7472,12.52,69636277388,4741544625,42692047,320797
TwoCopy,1048576,1,45.6282,183.84,18453193248,2501890278,6711263,92
TwoCopy,1048576,2,71.4192,117.45,33464440564,3914553989,90378538,170
TwoCopy,1048576,4,59.7102,140.48,63592121557,3279008297,414914694,4531
TwoCopy,1048576,8,41.2501,203.35,94581164504,2364268383,452191538,299791
OneCopy,1024,1,5.4788,1.49,18698380139,180247957,7624,59
OneCopy,1024,2,9.8137,.83,34218636557,347671821,26736,95
OneCopy,1024,4,12.6797,.64,65747746552,580134780,33523,430
OneCopy,1024,8,13.2395,.61,72201999000,643670399,251052,100367
OneCopy,32768,1,40.2222,6.51,18162125586,1497594932,53697,158
OneCopy,32768,2,65.2381,4.01,32906946512,2444929812,106947,639
OneCopy,32768,4,86.9212,3.01,59936550632,3349008842,529068,6007
OneCopy,32768,8,87.4006,2.99,64554221068,3290417529,10806388,297285
OneCopy,131072,1,49.0376,21.38,18487106927,1773036238,35665,109
OneCopy,131072,2,79.4989,13.18,33051614689,2878393814,95723,579
OneCopy,131072,4,96.9971,10.81,56409000308,3567586206,3569762,16530
OneCopy,131072,8,82.3599,12.73,60948102791,2956112964,35148530,105227
OneCopy,1048576,1,48.9620,171.32,17277769418,1726502129,9684581,291
OneCopy,1048576,2,73.9923,113.37,32504435226,2607512645,63932544,1166
OneCopy,1048576,4,55.5649,150.96,52054915268,1978107579,273386614,43605
OneCopy,1048576,8,48.8473,171.72,60562707243,1775383433,296178241,166570
ZeroCopy,1024,1,1.2339,6.63,18006355019,186825310,156498,350
ZeroCopy,1024,2,2.1474,3.81,33479100012,304023879,239088,1107
ZeroCopy,1024,4,3.1570,2.59,59530465546,530956825,457985,33305
ZeroCopy,1024,8,3.3396,2.45,73934434652,768858236,496749,476859
ZeroCopy,32768,1,20.1032,13.03,18113528493,704505887,283361,123
ZeroCopy,32768,2,32.1024,8.16,33697395614,1198512810,241163,846
ZeroCopy,32768,4,48.0612,5.45,58982283606,1773210258,682519,7510
ZeroCopy,32768,8,55.8722,4.69,71341924277,2108354664,2208800,331637
ZeroCopy,131072,1,34.5340,30.36,18785648751,1147332145,174960,55
ZeroCopy,131072,2,58.7572,17.84,33547156022,1966934205,149607,90
ZeroCopy,131072,4,79.1142,13.25,59805457743,2590814844,467291,948
ZeroCopy,131072,8,76.2881,13.74,41013029141,1379137876,9856020,88308
ZeroCopy,1048576,1,38.5775,217.44,14715863848,1081055486,41343,4141
ZeroCopy,1048576,2,67.4145,124.43,33275294050,2279767296,292727,357
ZeroCopy,1048576,4,81.6148,102.78,49065540505,2368626458,27195637,9105
ZeroCopy,1048576,8,40.3948,207.66,16361841639,238338638,18181811,26427
